2010-11-18,34.189999
2010-11-19,34.259997999999996
2010-11-22,34.080002
2010-11-23,33.25
2010-11-24,33.48
2010-11-26,33.799999
2010-11-29,33.799999
2010-11-30,34.200001
2010-12-01,34.779999
2010-12-02,34.68
2010-12-03,34.549999
2010-12-06,34.48
2010-12-07,34.68
2010-12-08,34.450001
2010-12-09,33.740002000000004
2010-12-10,33.810001
2010-12-13,33.799999
2010-12-14,33.889998999999996
2010-12-15,33.610001000000004
2010-12-16,33.610001000000004
2010-12-17,34.0
2010-12-20,33.759997999999996
2010-12-21,33.849998
2010-12-22,34.919998
2010-12-23,34.810001
2010-12-27,34.599998
2010-12-28,35.32
2010-12-29,36.02
2010-12-30,36.82
2010-12-31,36.860001000000004
2011-01-03,37.060001
2011-01-04,37.900002
2011-01-05,38.07
2011-01-06,38.900002
2011-01-07,38.98
2011-01-10,38.560001
2011-01-11,38.75
2011-01-12,38.619999
2011-01-13,38.27
2011-01-14,38.200001
2011-01-18,38.029999
2011-01-19,37.400002
2011-01-20,37.18
2011-01-21,37.240002000000004
2011-01-24,37.639998999999996
2011-01-25,38.400002
2011-01-26,37.889998999999996
2011-01-27,38.669998
2011-01-28,36.599998
2011-01-31,36.490002000000004
2011-02-01,36.450001
2011-02-02,35.68
2011-02-03,36.060001
2011-02-04,36.59
2011-02-07,36.700001
2011-02-08,36.889998999999996
2011-02-09,36.41
2011-02-10,35.880001
2011-02-11,36.450001
2011-02-14,36.290001000000004
2011-02-15,36.110001000000004
2011-02-16,36.75
2011-02-17,36.369999
2011-02-18,36.509997999999996
2011-02-22,35.77
2011-02-23,34.59
2011-02-24,33.02
2011-02-25,33.25
2011-02-28,33.529999
2011-03-01,32.950001
2011-03-02,32.880001
2011-03-03,33.029999
2011-03-04,32.389998999999996
2011-03-07,31.700001
2011-03-08,32.720001
2011-03-09,32.25
2011-03-10,31.42
2011-03-11,31.93
2011-03-14,31.59
2011-03-15,32.349998
2011-03-16,31.780001000000002
2011-03-17,31.440001000000002
2011-03-18,31.85
2011-03-21,31.280001000000002
2011-03-22,30.74
2011-03-23,31.16
2011-03-24,31.389999
2011-03-25,31.469998999999998
2011-03-28,30.85
2011-03-29,31.1
2011-03-30,31.549999
2011-03-31,31.030001000000002
2011-04-01,32.41
2011-04-04,32.389998999999996
2011-04-05,32.869999
2011-04-06,32.869999
2011-04-07,32.310001
2011-04-08,31.52
2011-04-11,30.77
2011-04-12,31.15
2011-04-13,30.860001
2011-04-14,30.58
2011-04-15,30.24
2011-04-18,29.969998999999998
2011-04-19,29.59
2011-04-20,29.93
2011-04-21,30.950001
2011-04-25,31.139999
2011-04-26,31.27
2011-04-27,31.780001000000002
2011-04-28,31.91
2011-04-29,32.09
2011-05-02,32.18
2011-05-03,32.990002000000004
2011-05-04,33.040001000000004
2011-05-05,32.02
2011-05-06,31.91
2011-05-09,31.389999
2011-05-10,31.610001
2011-05-11,31.299999
2011-05-12,31.42
2011-05-13,31.07
2011-05-16,31.1
2011-05-17,31.1
2011-05-18,31.52
2011-05-19,31.469998999999998
2011-05-20,31.18
2011-05-23,30.959999
2011-05-24,30.83
2011-05-25,31.27
2011-05-26,30.68
2011-05-27,31.280001000000002
2011-05-31,31.809998999999998
2011-06-01,30.23
2011-06-02,29.6
2011-06-03,29.120001000000002
2011-06-06,28.559998999999998
2011-06-07,28.780001000000002
2011-06-08,28.860001
2011-06-09,29.450001
2011-06-10,28.85
2011-06-13,28.59
2011-06-14,29.110001
2011-06-15,28.950001
2011-06-16,28.59
2011-06-17,29.0
2011-06-20,29.52
2011-06-21,29.59
2011-06-22,29.969998999999998
2011-06-23,30.139999
2011-06-24,29.92
2011-06-27,30.26
2011-06-28,30.5
2011-06-29,30.299999
2011-06-30,30.360001
2011-07-01,30.58
2011-07-05,30.860001
2011-07-06,31.190001000000002
2011-07-07,31.799999
2011-07-08,31.58
2011-07-11,30.75
2011-07-12,30.68
2011-07-13,30.75
2011-07-14,30.1
2011-07-15,29.76
2011-07-18,29.1
2011-07-19,29.33
2011-07-20,29.24
2011-07-21,29.959999
2011-07-22,30.1
2011-07-25,29.5
2011-07-26,29.09
2011-07-27,28.139999
2011-07-28,28.1
2011-07-29,27.68
2011-08-01,28.07
2011-08-02,27.049999
2011-08-03,27.17
2011-08-04,25.99
2011-08-05,26.309998999999998
2011-08-08,24.57
2011-08-09,25.540001
2011-08-10,23.92
2011-08-11,25.809998999999998
2011-08-12,25.75
2011-08-15,26.42
2011-08-16,25.83
2011-08-17,24.940001000000002
2011-08-18,23.6
2011-08-19,22.16
2011-08-22,21.709999
