2009-11-13,22.73
2009-11-16,23.1
2009-11-17,23.040001
2009-11-18,22.549999
2009-11-19,22.870001000000002
2009-11-20,23.209999
2009-11-23,23.4
2009-11-24,23.5
2009-11-25,23.74
2009-11-27,23.15
2009-11-30,23.0
2009-12-01,23.309998999999998
2009-12-02,23.6
2009-12-03,23.309998999999998
2009-12-04,23.85
2009-12-07,23.629998999999998
2009-12-08,23.629998999999998
2009-12-09,24.0
2009-12-10,23.700001
2009-12-11,23.34
2009-12-14,22.799999
2009-12-15,22.690001000000002
2009-12-16,22.73
2009-12-17,22.440001000000002
2009-12-18,22.57
2009-12-21,22.6
2009-12-22,22.4
2009-12-23,22.41
2009-12-24,22.15
2009-12-28,22.620001000000002
2009-12-29,22.610001
2009-12-30,22.610001
2009-12-31,22.43
2010-01-04,23.08
2010-01-05,23.26
2010-01-06,23.58
2010-01-07,23.74
2010-01-08,23.870001000000002
2010-01-11,24.0
2010-01-12,23.950001
2010-01-13,24.299999
2010-01-14,24.200001
2010-01-15,24.360001
2010-01-19,24.549999
2010-01-20,24.51
2010-01-21,23.98
2010-01-22,23.34
2010-01-25,23.35
2010-01-26,23.530001000000002
2010-01-27,23.549999
2010-01-28,23.84
2010-01-29,23.49
2010-02-01,23.370001000000002
2010-02-02,23.629998999999998
2010-02-03,23.84
2010-02-04,22.469998999999998
2010-02-05,21.709999
2010-02-08,22.389999
2010-02-09,22.559998999999998
2010-02-10,22.049999
2010-02-11,22.059998999999998
2010-02-12,22.549999
2010-02-16,23.030001000000002
2010-02-17,22.76
2010-02-18,23.280001000000002
2010-02-19,23.58
2010-02-22,23.24
2010-02-23,23.639999
2010-02-24,24.16
2010-02-25,23.799999
2010-02-26,23.889999
2010-03-01,24.09
2010-03-02,24.040001
2010-03-03,23.99
2010-03-04,24.200001
2010-03-05,24.52
2010-03-08,24.67
2010-03-09,25.120001000000002
2010-03-10,25.059998999999998
2010-03-11,25.110001
2010-03-12,25.129998999999998
2010-03-15,25.030001000000002
2010-03-16,25.120001000000002
2010-03-17,25.82
2010-03-18,25.24
2010-03-19,25.6
2010-03-22,25.01
2010-03-23,25.18
2010-03-24,25.25
2010-03-25,24.43
2010-03-26,24.99
2010-03-29,25.35
2010-03-30,25.790001
2010-03-31,25.25
2010-04-01,25.52
2010-04-05,25.799999
2010-04-06,27.01
2010-04-07,26.549999
2010-04-08,26.51
2010-04-09,26.469998999999998
2010-04-12,26.24
2010-04-13,27.030001000000002
2010-04-14,27.52
2010-04-15,27.0
2010-04-16,28.6
2010-04-19,29.01
2010-04-20,28.25
2010-04-21,28.190001000000002
2010-04-22,29.530001000000002
2010-04-23,29.379998999999998
2010-04-26,29.58
2010-04-27,28.99
2010-04-28,29.01
2010-04-29,29.129998999999998
2010-04-30,28.57
2010-05-03,29.02
