2013-06-19,15.53
2013-06-20,15.44
2013-06-21,15.8
2013-06-24,15.52
2013-06-25,15.66
2013-06-26,15.47
2013-06-27,15.37
2013-06-28,15.38
2013-07-01,14.87
2013-07-02,14.99
2013-07-03,14.97
2013-07-05,15.61
2013-07-08,16.02
2013-07-09,15.73
2013-07-10,15.45
2013-07-11,15.21
2013-07-12,14.99
2013-07-15,14.8
2013-07-16,15.39
2013-07-17,16.02
2013-07-18,15.6
2013-07-19,16.120001000000002
2013-07-22,15.9
2013-07-23,15.85
2013-07-24,15.92
2013-07-25,15.76
2013-07-26,16.09
2013-07-29,15.71
2013-07-30,16.139999
2013-07-31,16.09
2013-08-01,16.389999
2013-08-02,16.5
2013-08-05,16.209999
2013-08-06,16.389999
2013-08-07,16.16
2013-08-08,16.379998999999998
2013-08-09,16.24
2013-08-12,16.110001
2013-08-13,16.049999
2013-08-14,16.18
2013-08-15,16.32
2013-08-16,16.190001000000002
2013-08-19,15.89
2013-08-20,15.88
2013-08-21,15.94
2013-08-22,15.88
2013-08-23,15.92
2013-08-26,16.059998999999998
2013-08-27,15.94
2013-08-28,15.97
2013-08-29,15.96
2013-08-30,15.84
2013-09-03,16.0
2013-09-04,16.209999
2013-09-05,16.389999
2013-09-06,16.34
2013-09-09,16.49
2013-09-10,16.719998999999998
2013-09-11,17.200001
2013-09-12,17.299999
2013-09-13,17.110001
2013-09-16,17.17
2013-09-17,17.219998999999998
2013-09-18,17.25
2013-09-19,17.129998999999998
2013-09-20,16.91
2013-09-23,16.790001
2013-09-24,17.33
2013-09-25,17.09
2013-09-26,16.67
2013-09-27,16.559998999999998
2013-09-30,16.43
2013-10-01,16.290001
2013-10-02,16.49
2013-10-03,16.27
2013-10-04,16.27
2013-10-07,16.27
2013-10-08,16.23
2013-10-09,16.34
2013-10-10,16.65
2013-10-11,16.92
2013-10-14,17.059998999999998
2013-10-15,17.16
2013-10-16,17.26
2013-10-17,17.26
2013-10-18,17.32
2013-10-21,17.299999
2013-10-22,17.450001
2013-10-23,17.49
2013-10-24,17.719998999999998
2013-10-25,17.559998999999998
2013-10-28,17.68
2013-10-29,17.870001000000002
2013-10-30,17.75
2013-10-31,17.93
2013-11-01,18.110001
2013-11-04,18.129998999999998
2013-11-05,18.1
2013-11-06,17.77
2013-11-07,17.610001
2013-11-08,17.940001000000002
2013-11-11,17.780001000000002
2013-11-12,17.49
2013-11-13,17.530001000000002
2013-11-14,17.51
2013-11-15,18.02
2013-11-18,17.690001000000002
2013-11-19,17.73
2013-11-20,17.85
2013-11-21,17.799999
2013-11-22,17.709999
2013-11-25,17.610001
2013-11-26,17.76
2013-11-27,17.889999
2013-11-29,17.969998999999998
2013-12-02,17.66
2013-12-03,17.530001000000002
2013-12-04,17.5
2013-12-05,17.370001000000002
2013-12-06,17.360001
2013-12-09,17.360001
2013-12-10,17.5
2013-12-11,17.469998999999998
2013-12-12,17.35
2013-12-13,17.5
2013-12-16,17.629998999999998
2013-12-17,17.209999
2013-12-18,17.35
2013-12-19,17.209999
2013-12-20,17.58
2013-12-23,17.780001000000002
2013-12-24,17.82
2013-12-26,17.700001
2013-12-27,17.68
2013-12-30,17.75
2013-12-31,17.83
2014-01-02,17.889999
2014-01-03,17.73
2014-01-06,17.549999
2014-01-07,17.32
2014-01-08,17.24
2014-01-09,17.299999
2014-01-10,17.34
2014-01-13,17.08
2014-01-14,17.24
2014-01-15,17.15
2014-01-16,17.040001
2014-01-17,17.02
2014-01-21,16.76
2014-01-22,16.67
2014-01-23,16.549999
2014-01-24,16.15
2014-01-27,16.15
2014-01-28,16.01
2014-01-29,15.92
2014-01-30,15.8
2014-01-31,15.61
2014-02-03,15.07
2014-02-04,15.07
2014-02-05,15.31
2014-02-06,15.66
2014-02-07,17.0
2014-02-10,17.15
2014-02-11,17.5
2014-02-12,17.299999
2014-02-13,17.26
2014-02-14,17.219998999999998
2014-02-18,17.290001
2014-02-19,17.25
2014-02-20,17.110001
2014-02-21,17.219998999999998
2014-02-24,17.5
2014-02-25,17.620001000000002
2014-02-26,17.59
2014-02-27,17.66
2014-02-28,17.889999
2014-03-03,17.700001
2014-03-04,17.889999
2014-03-05,17.889999
2014-03-06,17.860001
2014-03-07,17.540001
2014-03-10,17.48
2014-03-11,17.370001000000002
2014-03-12,17.5
2014-03-13,17.07
2014-03-14,17.049999
2014-03-17,17.08
2014-03-18,17.35
2014-03-19,17.24
2014-03-20,17.110001
2014-03-21,17.01
2014-03-24,16.959999
2014-03-25,16.84
2014-03-26,16.52
2014-03-27,16.5
2014-03-28,16.540001
2014-03-31,16.700001
2014-04-01,16.93
2014-04-02,16.950001
2014-04-03,16.690001000000002
2014-04-04,16.709999
2014-04-07,16.73
2014-04-08,16.65
2014-04-09,16.82
2014-04-10,16.48
2014-04-11,16.26
2014-04-14,16.4
2014-04-15,16.290001
2014-04-16,16.41
2014-04-17,16.469998999999998
2014-04-21,16.66
2014-04-22,16.76
2014-04-23,16.92
2014-04-24,16.950001
2014-04-25,16.780001000000002
2014-04-28,16.780001000000002
2014-04-29,16.809998999999998
2014-04-30,16.540001
2014-05-01,16.76
2014-05-02,16.83
2014-05-05,16.84
2014-05-06,16.65
2014-05-07,16.540001
2014-05-08,16.57
2014-05-09,17.4
2014-05-12,17.450001
2014-05-13,17.309998999999998
2014-05-14,16.809998999999998
2014-05-15,16.559998999999998
2014-05-16,16.700001
2014-05-19,16.67
2014-05-20,16.43
2014-05-21,16.5
2014-05-22,16.77
2014-05-23,16.74
2014-05-27,16.860001
2014-05-28,16.709999
2014-05-29,16.639999
2014-05-30,16.59
2014-06-02,16.780001000000002
2014-06-03,16.92
2014-06-04,17.01
2014-06-05,17.27
2014-06-06,17.27
2014-06-09,17.25
2014-06-10,17.18
2014-06-11,17.17
2014-06-12,16.85
2014-06-13,16.73
2014-06-16,16.73
2014-06-17,16.809998999999998
2014-06-18,17.07
2014-06-19,17.16
2014-06-20,17.110001
2014-06-23,16.84
2014-06-24,17.0
2014-06-25,17.200001
2014-06-26,17.540001
2014-06-27,17.549999
2014-06-30,17.450001
2014-07-01,17.6
2014-07-02,17.719998999999998
2014-07-03,17.77
2014-07-07,17.629998999999998
2014-07-08,17.58
2014-07-09,17.67
2014-07-10,17.51
2014-07-11,17.559998999999998
2014-07-14,17.59
2014-07-15,17.66
2014-07-16,17.629998999999998
2014-07-17,17.5
2014-07-18,17.65
2014-07-21,17.540001
2014-07-22,17.51
2014-07-23,17.549999
2014-07-24,17.73
2014-07-25,17.610001
2014-07-28,17.49
2014-07-29,17.389999
2014-07-30,17.379998999999998
2014-07-31,17.209999
2014-08-01,17.360001
2014-08-04,17.389999
2014-08-05,17.219998999999998
2014-08-06,17.15
2014-08-07,17.0
2014-08-08,16.75
2014-08-11,16.940001000000002
2014-08-12,16.83
2014-08-13,16.76
2014-08-14,16.969998999999998
2014-08-15,16.809998999999998
2014-08-18,16.84
2014-08-19,16.75
2014-08-20,17.09
2014-08-21,17.190001000000002
2014-08-22,17.139999
2014-08-25,17.309998999999998
2014-08-26,17.25
2014-08-27,17.290001
2014-08-28,17.290001
2014-08-29,17.26
2014-09-02,17.059998999999998
2014-09-03,17.25
2014-09-04,17.299999
2014-09-05,17.389999
2014-09-08,17.26
2014-09-09,16.969998999999998
2014-09-10,17.120001000000002
2014-09-11,16.950001
2014-09-12,16.790001
2014-09-15,16.719998999999998
2014-09-16,16.709999
2014-09-17,16.67
2014-09-18,16.690001000000002
2014-09-19,16.84
2014-09-22,16.68
2014-09-23,16.66
2014-09-24,16.629998999999998
2014-09-25,16.42
2014-09-26,16.629998999999998
2014-09-29,16.5
2014-09-30,16.129998999999998
2014-10-01,15.82
2014-10-02,15.65
2014-10-03,15.76
2014-10-06,15.76
2014-10-07,15.33
2014-10-08,15.74
2014-10-09,15.26
2014-10-10,14.97
2014-10-13,14.53
2014-10-14,14.58
2014-10-15,14.48
2014-10-16,14.24
2014-10-17,14.26
2014-10-20,14.43
2014-10-21,15.01
2014-10-22,14.86
2014-10-23,15.1
2014-10-24,15.32
2014-10-27,15.07
2014-10-28,15.07
2014-10-29,15.14
2014-10-30,15.06
2014-10-31,15.05
2014-11-03,15.1
2014-11-04,14.74
2014-11-05,14.86
2014-11-06,14.99
2014-11-07,14.84
2014-11-10,14.94
2014-11-11,14.92
2014-11-12,15.0
2014-11-13,14.82
2014-11-14,14.98
2014-11-17,14.94
2014-11-18,14.91
2014-11-19,14.98
2014-11-20,14.76
2014-11-21,14.83
2014-11-24,15.05
2014-11-25,15.02
2014-11-26,15.2
2014-11-28,15.05
2014-12-01,15.05
2014-12-02,15.23
2014-12-03,15.25
2014-12-04,15.16
2014-12-05,15.23
2014-12-08,14.99
2014-12-09,15.11
2014-12-10,14.87
2014-12-11,14.78
2014-12-12,14.65
2014-12-15,14.25
2014-12-16,14.24
2014-12-17,14.37
2014-12-18,14.48
2014-12-19,14.59
2014-12-22,14.75
2014-12-23,14.99
2014-12-24,14.92
2014-12-26,15.04
2014-12-29,15.13
2014-12-30,15.18
2014-12-31,15.08
2015-01-02,14.98
2015-01-05,14.64
2015-01-06,14.47
2015-01-07,14.41
2015-01-08,14.74
2015-01-09,14.88
2015-01-12,14.72
2015-01-13,14.7
2015-01-14,14.63
2015-01-15,14.54
2015-01-16,14.54
2015-01-20,14.44
2015-01-21,14.45
2015-01-22,14.7
2015-01-23,14.66
2015-01-26,14.98
2015-01-27,14.91
2015-01-28,14.75
2015-01-29,14.46
2015-01-30,14.44
2015-02-02,14.48
2015-02-03,15.13
2015-02-04,15.11
2015-02-05,15.22
2015-02-06,15.77
2015-02-09,16.17
2015-02-10,16.299999
2015-02-11,16.299999
2015-02-12,16.360001
2015-02-13,16.41
2015-02-17,16.559998999999998
2015-02-18,16.51
2015-02-19,16.549999
2015-02-20,16.67
2015-02-23,16.9
2015-02-24,16.91
2015-02-25,17.01
2015-02-26,16.860001
2015-02-27,16.82
2015-03-02,17.0
2015-03-03,16.719998999999998
2015-03-04,16.620001000000002
2015-03-05,16.65
2015-03-06,16.41
2015-03-09,16.290001
2015-03-10,15.93
2015-03-11,16.059998999999998
2015-03-12,16.440001000000002
2015-03-13,16.389999
2015-03-16,16.58
2015-03-17,16.459999
2015-03-18,16.59
2015-03-19,16.4
2015-03-20,16.540001
2015-03-23,16.610001
2015-03-24,16.559998999999998
2015-03-25,16.24
2015-03-26,16.02
2015-03-27,15.95
2015-03-30,16.040001
2015-03-31,15.87
2015-04-01,15.93
2015-04-02,15.99
2015-04-06,16.09
2015-04-07,15.95
2015-04-08,15.89
2015-04-09,15.72
2015-04-10,15.73
2015-04-13,15.94
2015-04-14,15.85
2015-04-15,15.84
2015-04-16,15.7
2015-04-17,15.49
2015-04-20,15.48
2015-04-21,15.35
2015-04-22,15.41
2015-04-23,15.46
2015-04-24,15.43
2015-04-27,15.47
2015-04-28,15.86
2015-04-29,15.66
2015-04-30,15.57
2015-05-01,15.93
2015-05-04,16.07
2015-05-05,15.92
2015-05-06,14.91
2015-05-07,14.91
2015-05-08,15.09
2015-05-11,15.59
2015-05-12,15.18
2015-05-13,15.1
